P112808484000189042995663                   CELESTE ALIMENTOS                                 
P212808484000189001REJUNTE FLEX.QUART.BEGE FRD 15/1                                          00840REJUNTE FLEX.QUART.BEGE FRD 15/1        T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.CINZA PLATINA 15/1                                     00841REJUNTE FLEX.QUART.CINZA PLATINA 15/1   T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.MARFIM FRD 15/1                                        00842REJUNTE FLEX.QUART.MARFIM FRD 15/1      T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.PRETO FRD 15/1                                         00843REJUNTE FLEX.QUART.PRETO FRD 15/1       T1700000000000000
P212808484000189001REJUNTE DO MESTRE MARROM 40X1                                             00844REJUNTE DO MESTRE MARROM 40X1           T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS BEGE C                                             00845PISO CER. 30X30 DALLAS BEGE C           T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS CINZA C                                            00846PISO CER. 30X30 DALLAS CINZA C          T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS SALMAO C                                           00847PISO CER. 30X30 DALLAS SALMAO C         T1700000000000000
P212808484000189001PISO CER. 30X30 SEVILHA BEGE C                                            00848PISO CER. 30X30 SEVILHA BEGE C          T1700000000000000
P212808484000189001PISO CER. 30X30 ALBANY CINZA C                                            00849PISO CER. 30X30 ALBANY CINZA C          T1700000000000000
P212808484000189001PISO CER. 30X30 NAPOLI CINZA C                                            00850PISO CER. 30X30 NAPOLI CINZA C          T1700000000000000
P212808484000189001PISO CER. 30X30 TURIN CINZA R                                             00851PISO CER. 30X30 TURIN CINZA R           T1700000000000000
P212808484000189001PISO CER. 30X30 NAPOLI BEGE R                                             00852PISO CER. 30X30 NAPOLI BEGE R           T1700000000000000
P212808484000189001PISO CER. 30X30 MONTE CARLO R                                             00853PISO CER. 30X30 MONTE CARLO R           T1700000000000000
P212808484000189001PISO CER. 30X30 NIMBUS R                                                  00854PISO CER. 30X30 NIMBUS R                T1700000000000000
P212808484000189001PISO CER. 30X30 MALLORCA CORAL C                                          00855PISO CER. 30X30 MALLORCA CORAL C        T1700000000000000
P212808484000189001PISO CER. 30X30 MONACO C                                                  00856PISO CER. 30X30 MONACO C                T1700000000000000
P212808484000189001PISO CER. 30X30 NAPOLI BEGE C                                             00857PISO CER. 30X30 NAPOLI BEGE C           T1700000000000000
P212808484000189001PISO CER. 30X30 TURIN CINZA C                                             00858PISO CER. 30X30 TURIN CINZA C           T1700000000000000
P212808484000189001MALHA POP REFORCADA PAINEL 2,00X3,00 M                                    00859MALHA POP REFORCADA PAINEL 2,00X3,00 M  T1700000000000000
P212808484000189001PISO CER. 20X20 ATLANTA R                                                 00860PISO CER. 20X20 ATLANTA R               T1700000000000000
P212808484000189001PISO CER. 20X20 MALTA R                                                   00861PISO CER. 20X20 MALTA R                 T1700000000000000
P212808484000189001PISO CER. 20X20 TURIN CINZA R                                             00862PISO CER. 20X20 TURIN CINZA R           T1700000000000000
P212808484000189001PISO CER. 30X30 DETROIT R                                                 00863PISO CER. 30X30 DETROIT R               T1700000000000000
P212808484000189001PISO CER. 30X30 MALLORCA ESMERALDA R                                      00864PISO CER. 30X30 MALLORCA ESMERALDA R    T1700000000000000
P212808484000189001PISO CER. 30X30 NANTES CINZA R                                            00865PISO CER. 30X30 NANTES CINZA R          T1700000000000000
P212808484000189001PISO CER. 20X20 IRIS BRANCO R                                             00867PISO CER. 20X20 IRIS BRANCO R           T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS BEGE R                                             00868PISO CER. 30X30 DALLAS BEGE R           T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS CINZA R                                            00869PISO CER. 30X30 DALLAS CINZA R          T1700000000000000
P212808484000189001ARGAMASSA ACI PISO COLA 15 KG                                             00870ARGAMASSA ACI PISO COLA 15 KG           T1700000000000000
P212808484000189001ARGAMASSA ACI PISO COLA 20 KG                                             00871ARGAMASSA ACI PISO COLA 20 KG           T1700000000000000
P212808484000189001PISO CER. 30X30 SEVILHA BEGE R                                            00872PISO CER. 30X30 SEVILHA BEGE R          T1700000000000000
P212808484000189001PISO CER. 30X30 TECHNO CINZA R                                            00873PISO CER. 30X30 TECHNO CINZA R          T1700000000000000
P212808484000189001PISO CER. 20X20 TURIN CORAL A                                             00874PISO CER. 20X20 TURIN CORAL A           T1700000000000000
P212808484000189001PISO CER. 30X30 ALBANY BRANCO R                                           00875PISO CER. 30X30 ALBANY BRANCO R         T1700000000000000
P212808484000189001CAIXA FORTLEV POLIETILENO  250 L C/TP                                     00876CAIXA FORTLEV POLIETILENO  250 L C/TP   T1700000000000000
P212808484000189001CAIXA FORTLEV POLIETILENO  310 L C/TP                                     00877CAIXA FORTLEV POLIETILENO  310 L C/TP   T1700000000000000
P212808484000189001CAIXA FORTLEV POLIETILENO  500 L C/TP                                     00878CAIXA FORTLEV POLIETILENO  500 L C/TP   T1700000000000000
P212808484000189001CAIXA FORTLEV POLIETILENO 1000 L C/TP                                     00879CAIXA FORTLEV POLIETILENO 1000 L C/TP   T1700000000000000
P212808484000189001CAIXA FORTLEV FIBRA DE VIDRO  500 L C/TP                                  00880CAIXA FORTLEV FIBRA DE VIDRO  500 L C/TPT1700000000000000
P212808484000189001CAIXA FORTLEV FIBRA DE VIDRO 1000 L C/TP                                  00881CAIXA FORTLEV FIBRA DE VIDRO 1000 L C/TPT1700000000000000
P212808484000189001ELETRODO GERDAU E-6013 2,50 MM                                            00882ELETRODO GERDAU E-6013 2,50 MM          T1700000000000000
P212808484000189001ELETRODO GERDAU E-6013 3,25 MM                                            00883ELETRODO GERDAU E-6013 3,25 MM          T1700000000000000
P212808484000189001PISO CER. 30X30 NAPOLI CINZA A                                            00884PISO CER. 30X30 NAPOLI CINZA A          T1700000000000000
P212808484000189001PISO CER. 30X30 NAPOLI BEGE A                                             00885PISO CER. 30X30 NAPOLI BEGE A           T1700000000000000
P212808484000189001PISO CER. 30X30 NANTES CINZA A                                            00886PISO CER. 30X30 NANTES CINZA A          T1700000000000000
P212808484000189001PISO CER. 30X30 NANTES BEGE A                                             00887PISO CER. 30X30 NANTES BEGE A           T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE BEGE R                                             00888PISO CER. 30X30 NUANCE BEGE R           T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE ESMERALDA R                                        00889PISO CER. 30X30 NUANCE ESMERALDA R      T1700000000000000
P212808484000189001PISO CER. 20X20 PALACE PRATA A                                            00890PISO CER. 20X20 PALACE PRATA A          T1700000000000000
P212808484000189001PISO CER. 20X20 PALACE ESMER. A                                           00891PISO CER. 20X20 PALACE ESMER. A         T1700000000000000
P212808484000189001TUBO PBA AMANCO FORT JERI DN 50 CL 12                                     00892TUBO PBA AMANCO FORT JERI DN 50 CL 12   T1700000000000000
P212808484000189001CAIXA PLASTICA AGUAFLEX 1000 L C/TP                                       00893CAIXA PLASTICA AGUAFLEX 1000 L C/TP     T1700000000000000
P212808484000189001PISO CER. 30X30 STONE GRAFITE A                                           00894PISO CER. 30X30 STONE GRAFITE A         T1700000000000000
P212808484000189001PISO CER. 20X20 PALACE BEGE A                                             00895PISO CER. 20X20 PALACE BEGE A           T1700000000000000
P212808484000189001PISO CER. 20X20 PALACE CINZA A                                            00896PISO CER. 20X20 PALACE CINZA A          T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE CINZA A                                            00897PISO CER. 30X30 NUANCE CINZA A          T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.CINZA PLATINA 30/5                                     00898REJUNTE FLEX.QUART.CINZA PLATINA 30/5   T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.BRANCO FRD 30/5                                        00899REJUNTE FLEX.QUART.BRANCO FRD 30/5      T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.BEGE FRD 30/5                                          00900REJUNTE FLEX.QUART.BEGE FRD 30/5        T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.MARFIM FRD 30/5                                        00901REJUNTE FLEX.QUART.MARFIM FRD 30/5      T1700000000000000
P212808484000189001REJUNTE FLEX.QUART.PRETO FRD 30/5                                         00902REJUNTE FLEX.QUART.PRETO FRD 30/5       T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE BEGE A                                             00903PISO CER. 30X30 NUANCE BEGE A           T1700000000000000
P212808484000189001MALHA Q 196 PAINEL 2,45X6,00 M                                            00904MALHA Q 196 PAINEL 2,45X6,00 M          T1700000000000000
P212808484000189001CIMENTO ITA 50KG                                                          00905CIMENTO ITA 50KG                        T1700000000000000
P212808484000189001PISO CER. 30X30 STONE BEGE A                                              00906PISO CER. 30X30 STONE BEGE A            T1700000000000000
P212808484000189001PISO CER. 30X30 TURIN CORAL R                                             00907PISO CER. 30X30 TURIN CORAL R           T1700000000000000
P212808484000189001VERGALHAO CA 50 1/4  ACO CEARENSE                                         00908VERGALHAO CA 50 1/4  ACO CEARENSE       T1700000000000000
P212808484000189001VERGALHAO CA 50 5/16 ACO CEARENSE                                         00909VERGALHAO CA 50 5/16 ACO CEARENSE       T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE BEGE C                                             00910PISO CER. 30X30 NUANCE BEGE C           T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE CINZA C                                            00911PISO CER. 30X30 NUANCE CINZA C          T1700000000000000
P212808484000189001PREGO GERDAU 2.1/2X14                                                     00912PREGO GERDAU 2.1/2X14                   T1700000000000000
P212808484000189001PREGO GERDAU 1.1/2X12                                                     00913PREGO GERDAU 1.1/2X12                   T1700000000000000
P212808484000189001HIDRAFORT FLAMINGO                                                        00914HIDRAFORT FLAMINGO                      T1700000000000000
P212808484000189001HIDRAFORT CROMO SUAVE                                                     00915HIDRAFORT CROMO SUAVE                   T1700000000000000
P212808484000189001PISO CER. 30X30 TECHNO BEGE R                                             00916PISO CER. 30X30 TECHNO BEGE R           T1700000000000000
P212808484000189001PISO CER. 30X30 CAPRI CHUMBO R                                            00917PISO CER. 30X30 CAPRI CHUMBO R          T1700000000000000
P212808484000189001CAIXA DAGUA AQUALEV AZUL C/TAMPA  310 L                                   00918CAIXA DAGUA AQUALEV AZUL C/TAMPA  310 L T1700000000000000
P212808484000189001CAIXA DAGUA AQUALEV AZUL C/TAMPA  500 L                                   00919CAIXA DAGUA AQUALEV AZUL C/TAMPA  500 L T1700000000000000
P212808484000189001CAIXA DAGUA AQUALEV AZUL C/TAMPA 1000 L                                   00920CAIXA DAGUA AQUALEV AZUL C/TAMPA 1000 L T1700000000000000
P212808484000189001ARGAMASSA QUARTZOLIT 20KG ACII SUPER                                      00921ARGAMASSA QUARTZOLIT 20KG ACII SUPER    T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE CINZA R                                            00922PISO CER. 30X30 NUANCE CINZA R          T1700000000000000
P212808484000189001PISO CER. 30X30 DETROIT C                                                 00923PISO CER. 30X30 DETROIT C               T1700000000000000
P212808484000189001ARAME GALVANIZADO BWG 12 - ROLO                                           00924ARAME GALVANIZADO BWG 12 - ROLO         T1700000000000000
P212808484000189001ARAME GALVANIZADO BWG 14 - ROLO                                           00925ARAME GALVANIZADO BWG 14 - ROLO         T1700000000000000
P212808484000189001PISO CER. 30X30 ALBANY BRANCO C                                           00926PISO CER. 30X30 ALBANY BRANCO C         T1700000000000000
P212808484000189001ARGAMASSA QUARTZOLIT 20KG RAPIDO BRANCA                                   00927ARGAMASSA QUARTZOLIT 20KG RAPIDO BRANCA T1700000000000000
P212808484000189001ARAME RECOZIDO 18                                                         00928ARAME RECOZIDO 18                       T1700000000000000
P212808484000189001PISO CER. 30X30 DALLAS SALMAO R                                           00929PISO CER. 30X30 DALLAS SALMAO R         T1700000000000000
P212808484000189001HIDRACOR VERDE PRIMAVERA 10/2                                             00930HIDRACOR VERDE PRIMAVERA 10/2           T1700000000000000
P212808484000189001GRAMPO P/MURO GALVANIZADO 1.95X43M                                        00931GRAMPO P/MURO GALVANIZADO 1.95X43M      T1700000000000000
P212808484000189001GRAMPO P/MURO PRETO 2.00X43MM                                             00932GRAMPO P/MURO PRETO 2.00X43MM           T1700000000000000
P212808484000189001PISO CER. 30X30 TURIN CORAL C                                             00933PISO CER. 30X30 TURIN CORAL C           T1700000000000000
P212808484000189001HIDRACOR OCRE FRD 10/2                                                    00934HIDRACOR OCRE FRD 10/2                  T1700000000000000
P212808484000189001HIDRACOR DAMASCO FRD 10/2                                                 00935HIDRACOR DAMASCO FRD 10/2               T1700000000000000
P212808484000189001PISO CER. 30X30 SEVILHA GRIS R                                            00936PISO CER. 30X30 SEVILHA GRIS R          T1700000000000000
P212808484000189001PISO CER. 30X30 SEVILHA GRIS C                                            00937PISO CER. 30X30 SEVILHA GRIS C          T1700000000000000
P212808484000189001MALHA Q 138 PAINEL 2,45X6,00 M                                            00939MALHA Q 138 PAINEL 2,45X6,00 M          T1700000000000000
P212808484000189001PISO CER. 30X30 NIMBUS C                                                  00940PISO CER. 30X30 NIMBUS C                T1700000000000000
P212808484000189001PISO CER. 20X20 CINTRA AZUL A                                             00941PISO CER. 20X20 CINTRA AZUL A           T1700000000000000
P212808484000189001PISO CER. 20X20 CINTRA BRANCO A                                           00942PISO CER. 20X20 CINTRA BRANCO A         T1700000000000000
P212808484000189001REJUNTE QUART.BRANCO PISCINA 30/5                                         00943REJUNTE QUART.BRANCO PISCINA 30/5       T1700000000000000
P212808484000189001PISO CER. 30X30 ATHENAS BEGE R                                            00944PISO CER. 30X30 ATHENAS BEGE R          T1700000000000000
P212808484000189001PISO CER. 30X30 ARIANA R                                                  00945PISO CER. 30X30 ARIANA R                T1700000000000000
P212808484000189001PALLET DIV MADEIRA 1.20X1.00                                              00946PALLET DIV MADEIRA 1.20X1.00            I0000000000000000
P212808484000189001VERGALHAO CA 60 4.2MM DOBRADO GERDAU                                      00947VERGALHAO CA 60 4.2MM DOBRADO GERDAU    T1700000000000000
P212808484000189001VERGALHAO CA 60 5.0MM DOBRADO GERDAU                                      00948VERGALHAO CA 60 5.0MM DOBRADO GERDAU    T1700000000000000
P212808484000189001SLING                                                                     00949SLING                                   I0000000000000000
P212808484000189001SACARIA NASSAU VAZIA TARJA 50KG                                           00950SACARIA NASSAU VAZIA TARJA 50KG         T1700000000000000
P212808484000189001PISO CER. 30X30 NAPOLI CINZA R                                            00952PISO CER. 30X30 NAPOLI CINZA R          T1700000000000000
P212808484000189001PISO CER. 30X30 NANTES CINZA C                                            00953PISO CER. 30X30 NANTES CINZA C          T1700000000000000
P212808484000189001PISO CER. 20X20 IRIS BRANCO C                                             00954PISO CER. 20X20 IRIS BRANCO C           T1700000000000000
P212808484000189001PISO CER. 20X20 IRIS CINZA C                                              00955PISO CER. 20X20 IRIS CINZA C            T1700000000000000
P212808484000189001PISO CER. 20X20 NIMBUS C                                                  00956PISO CER. 20X20 NIMBUS C                T1700000000000000
P212808484000189001PISO CER. 20X20 TURIN CINZA C                                             00957PISO CER. 20X20 TURIN CINZA C           T1700000000000000
P212808484000189001PISO CER. 20X20 PALACE PRATA C                                            00958PISO CER. 20X20 PALACE PRATA C          T1700000000000000
P212808484000189001PISO CER. 20X20 ANDES CINZA C                                             00959PISO CER. 20X20 ANDES CINZA C           T1700000000000000
P212808484000189001PISO CER. 20X20 ALBANY BRANCO C                                           00960PISO CER. 20X20 ALBANY BRANCO C         T1700000000000000
P212808484000189001CAL PISO COLA 10 KG                                                       00961CAL PISO COLA 10 KG                     T1700000000000000
P212808484000189001PISO CER. 30X30 MONACO R                                                  00962PISO CER. 30X30 MONACO R                T1700000000000000
P212808484000189001PISO CER. 30X30 MALTA R                                                   00963PISO CER. 30X30 MALTA R                 T1700000000000000
P212808484000189001PISO CER. 30X30 MALTA C                                                   00964PISO CER. 30X30 MALTA C                 T1700000000000000
P212808484000189001CAIXA FORTLEV FIBRA DE VIDRO 2000 L C/TP                                  00965CAIXA FORTLEV FIBRA DE VIDRO 2000 L C/TPT1700000000000000
P212808484000189001PISO CER. 34X34 DIAMANTE A ESCURIAL                                       00966PISO CER. 34X34 DIAMANTE A ESCURIAL     T1700000000000000
P212808484000189001PISO CER. 34X34 TATI CINZA A ESCURIAL                                     00967PISO CER. 34X34 TATI CINZA A ESCURIAL   T1700000000000000
P212808484000189001PISO CER. 34X34 TATI CINZA C ESCURIAL                                     00968PISO CER. 34X34 TATI CINZA C ESCURIAL   T1700000000000000
P212808484000189001PISO CER. 34X34 TATI SALMAO A ESCURIAL                                    00969PISO CER. 34X34 TATI SALMAO A ESCURIAL  T1700000000000000
P212808484000189001PISO CER. 34X34 TATI SALMAO C ESCURIAL                                    00970PISO CER. 34X34 TATI SALMAO C ESCURIAL  T1700000000000000
P212808484000189001PISO CER. 34X34 MILENA A ESCURIAL                                         00971PISO CER. 34X34 MILENA A ESCURIAL       T1700000000000000
P212808484000189001PISO CER. 34X34 SILVANA CINZA A ESCURIAL                                  00972PISO CER. 34X34 SILVANA CINZA A ESCURIALT1700000000000000
P212808484000189001PISO CER. 34X34 BOURBON CINZA A ESCURIAL                                  00973PISO CER. 34X34 BOURBON CINZA A ESCURIALT1700000000000000
P212808484000189001PISO CER. 34X34 MILENA BLACK A ESCURIAL                                   00974PISO CER. 34X34 MILENA BLACK A ESCURIAL T1700000000000000
P212808484000189001PISO CER. 34X34 PIATAN CINZA A ESCURIAL                                   00975PISO CER. 34X34 PIATAN CINZA A ESCURIAL T1700000000000000
P212808484000189001PISO CER. 23X34 BOURBON MARROM A ESCURIA                                  00976PISO CER. 23X34 BOURBON MARROM A ESCURIAT1700000000000000
P212808484000189001PISO CER. 23X34 NICOLE CINZA A ESCURIAL                                   00977PISO CER. 23X34 NICOLE CINZA A ESCURIAL T1700000000000000
P212808484000189001PISO CER. 23X34 MILENA BLACK A ESCURIAL                                   00978PISO CER. 23X34 MILENA BLACK A ESCURIAL T1700000000000000
P212808484000189001PISO CER. 34X34 BOURBON MARROM A ESCURIA                                  00979PISO CER. 34X34 BOURBON MARROM A ESCURIAT1700000000000000
P212808484000189001EXPOSITOR ESCAMA ESCURIAL                                                 00980EXPOSITOR ESCAMA ESCURIAL               T1700000000000000
P212808484000189001PISO CER. 34X34 MILENA C ESCURIAL                                         00981PISO CER. 34X34 MILENA C ESCURIAL       T1700000000000000
P212808484000189001PISO CER. 23X34 BOURBON CINZA A ESCURIAL                                  00982PISO CER. 23X34 BOURBON CINZA A ESCURIALT1700000000000000
P212808484000189001PISO CER. 23X34 TATI CINZA A ESCURIAL                                     00983PISO CER. 23X34 TATI CINZA A ESCURIAL   T1700000000000000
P212808484000189001PISO CER. 23X34 TATI SALMAO A ESCURIAL                                    00984PISO CER. 23X34 TATI SALMAO A ESCURIAL  T1700000000000000
P212808484000189001PISO CER. 23X34 MILENA A ESCURIAL                                         00985PISO CER. 23X34 MILENA A ESCURIAL       T1700000000000000
P212808484000189001PISO CER. 34X34 PIATAN CINZA C ESCURIAL                                   00986PISO CER. 34X34 PIATAN CINZA C ESCURIAL T1700000000000000
P212808484000189001PISO CER. 30X30 COPACABANA R                                              00987PISO CER. 30X30 COPACABANA R            T1700000000000000
P212808484000189001HIDRAFORT VERDE CANA                                                      00988HIDRAFORT VERDE CANA                    T1700000000000000
P212808484000189001PLACA P/MOSTRUARIO DE PISO ESCURIAL                                       00989PLACA P/MOSTRUARIO DE PISO ESCURIAL     T1700000000000000
P212808484000189001PISO CER. 34X34 PIATAN MARROM A ESCURIAL                                  00990PISO CER. 34X34 PIATAN MARROM A ESCURIALT1700000000000000
P212808484000189001CAIXA FORTLEV FIBRA DE VIDRO 3000 L C/TP                                  00991CAIXA FORTLEV FIBRA DE VIDRO 3000 L C/TPT1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE BRANCO R                                           00992PISO CER. 30X30 NUANCE BRANCO R         T1700000000000000
P212808484000189001ENVELOPES P/ TREINAMENTOS                                                 00993ENVELOPES P/ TREINAMENTOS               I0000000000000000
P212808484000189001FOLHA DE AVALIACAO                                                        00994FOLHA DE AVALIACAO                      I0000000000000000
P212808484000189001BLOCO DE ANOTACAO GC QUADRICULADO (GR)                                    00995BLOCO DE ANOTACAO GC QUADRICULADO (GR)  I0000000000000000
P212808484000189001FOLHETO LINHA PRODUTOS GC                                                 00996FOLHETO LINHA PRODUTOS GC               I0000000000000000
P212808484000189001BONE GG-50                                                                00997BONE GG-50                              I0000000000000000
P212808484000189001CANETA GG-50                                                              00998CANETA GG-50                            I0000000000000000
P212808484000189001MOCHILA GG-50 FOTO 3204                                                   00999MOCHILA GG-50 FOTO 3204                 I0000000000000000
P212808484000189001NECESSAIRE GG-50                                                          01000NECESSAIRE GG-50                        I0000000000000000
P212808484000189001SACOLA GC 40 X 30                                                         01001SACOLA GC 40 X 30                       I0000000000000000
P212808484000189001TRENA GC AZUL                                                             01002TRENA GC AZUL                           I0000000000000000
P212808484000189001PISO CER. 34X34 NICOLE CINZA A                                            01003PISO CER. 34X34 NICOLE CINZA A          T1700000000000000
P212808484000189001PISO CER. 30X30 STONE GRAFITE R                                           01004PISO CER. 30X30 STONE GRAFITE R         T1700000000000000
P212808484000189001LUVA 4 FIOS LVMESCLA 63,5%                                                01005LUVA 4 FIOS LVMESCLA 63,5%              T1700000000000000
P212808484000189001EXPOSITOR ARAMADO 2006                                                    01006EXPOSITOR ARAMADO 2006                  T1700000000000000
P212808484000189001PISO CER. 20X20 TEBAS AREIA R                                             01007PISO CER. 20X20 TEBAS AREIA R           T1700000000000000
P212808484000189001PISO CER. 20X20 TEBAS MARE R                                              01008PISO CER. 20X20 TEBAS MARE R            T1700000000000000
P212808484000189001PISO CER. 20X20 ANDES CINZA R                                             01009PISO CER. 20X20 ANDES CINZA R           T1700000000000000
P212808484000189001PISO CER. 20X20 PALACE CINZA R                                            01010PISO CER. 20X20 PALACE CINZA R          T1700000000000000
P212808484000189001PISO CER. 34X34 BOURBON CINZA C ESCURIAL                                  01011PISO CER. 34X34 BOURBON CINZA C ESCURIALT1700000000000000
P212808484000189001PISO CER. 20X20 CINTRA CINZA R                                            01012PISO CER. 20X20 CINTRA CINZA R          T1700000000000000
P212808484000189001PISO CER. 20X20 TEBAS CINZA R                                             01013PISO CER. 20X20 TEBAS CINZA R           T1700000000000000
P212808484000189001TELHA MAXIPLAC 6MM 3.30X1.06                                              01014TELHA MAXIPLAC 6MM 3.30X1.06            T1700000000000000
P212808484000189001HIDRAFORT CONCRETO                                                        01015HIDRAFORT CONCRETO                      T1700000000000000
P212808484000189001PISO CER. 34X34 SILVANA CINZA C ESCURIAL                                  01016PISO CER. 34X34 SILVANA CINZA C ESCURIALT1700000000000000
P212808484000189001PISO CER. 34X34 PIATAN MARROM C ESCURIAL                                  01017PISO CER. 34X34 PIATAN MARROM C ESCURIALT1700000000000000
P212808484000189001CAIXA PLASTICA AGUAFLEX  310 L C/TP                                       01018CAIXA PLASTICA AGUAFLEX  310 L C/TP     T1700000000000000
P212808484000189001SACARIA ITA VAZIA 2 FOLHAS CPIV TARJA 50                                  01019SACARIA ITA VAZIA 2 FOLHAS CPIV TARJA 50T1700000000000000
P212808484000189001SAPATA 60X60 GG 5/16                                                      01020SAPATA 60X60 GG 5/16                    T1700000000000000
P212808484000189001PISO CER. 34X34 BOURBON VERDE A ESCURIAL                                  01021PISO CER. 34X34 BOURBON VERDE A ESCURIALT1700000000000000
P212808484000189001PISO CER. 34X34 MIRELA MARROM A ESCURIAL                                  01022PISO CER. 34X34 MIRELA MARROM A ESCURIALT1700000000000000
P212808484000189001PISO CER. 34X34 DIAMANTE C ESCURIAL                                       01023PISO CER. 34X34 DIAMANTE C ESCURIAL     T1700000000000000
P212808484000189001PISO CER. 34X34 TATI BEGE A ESCURIAL                                      01024PISO CER. 34X34 TATI BEGE A ESCURIAL    T1700000000000000
P212808484000189001TUBO CORRUGADO AMARELO 3/4                                                01025TUBO CORRUGADO AMARELO 3/4              T1700000000000000
P212808484000189001TUBO CORRUGADO AMARELO 5/8                                                01026TUBO CORRUGADO AMARELO 5/8              T1700000000000000
P212808484000189001PISO CER. 30X30 ATLANTA R                                                 01027PISO CER. 30X30 ATLANTA R               T1700000000000000
P212808484000189001SAPATA 80X80 GG 3/8                                                       01028SAPATA 80X80 GG 3/8                     T1700000000000000
P212808484000189001PISO CER. 34X34 BOURBON MARROM C ESCURIA                                  01029PISO CER. 34X34 BOURBON MARROM C ESCURIAT1700000000000000
P212808484000189001PISO CER. 30X30 MONTE CARLO C                                             01030PISO CER. 30X30 MONTE CARLO C           T1700000000000000
P212808484000189001CAIXA DE PAPELAO 34X34 AMERICANO ESCURIA                                  01031CAIXA DE PAPELAO 34X34 AMERICANO ESCURIAT1700000000000000
P212808484000189001GUIA WEBER 2007                                                           01032GUIA WEBER 2007                         T1700000000000000
P212808484000189001TP. CAIXA DAGUA FB VIDRO 2000L FORTLEV                                    01034TP. CAIXA DAGUA FB VIDRO 2000L FORTLEV  T1700000000000000
P212808484000189001TELHA GRAVICOLOR COLINA 460X1120MM CZP                                    01035TELHA GRAVICOLOR COLINA 460X1120MM CZP  T1700000000000000
P212808484000189001ASDFASDFAS                                                                00147ASDFASDFAS                              T1700000000000000
P212808484000189001TELHA GRAVICOLOR COLINA 460X1120MM TRC                                    01036TELHA GRAVICOLOR COLINA 460X1120MM TRC  T1700000000000000
P212808484000189001CARRINHO DE MAO MAESTRO C/PNEU 3,25 PRET                                  01037CARRINHO DE MAO MAESTRO C/PNEU 3,25 PRETT1700000000000000
P212808484000189001CARRINHO DE MAO MASTER PC 3,25 VERMELHO                                   01038CARRINHO DE MAO MASTER PC 3,25 VERMELHO T1700000000000000
P212808484000189001NOTA FISCAL FATURA MOD 1-SERIE 1                                          00025NOTA FISCAL FATURA MOD 1-SERIE 1        T1700000000000000
P212808484000189001CARRINHO DE MAO FISCHER PRETO P/C 3,25X8                                  00110CARRINHO DE MAO FISCHER PRETO P/C 3,25X8T1700000000000000
P212808484000189001  PREGO GERDAU 3.1/4X7JSADHFSFGHJFJK 12345                                00123PREGO GERDAU 3.1/4X7JSADHFSFGHJFJK 12345T1700000000000000
P212808484000189001TELHA TRANSL. ONDALEV INCOL 2.44 X 0,50                                   00035TELHA TRANSL. ONDALEV INCOL 2.44 X 0,50 T1700000000000000
P212808484000189001TELHA TRANSL. ONDAFORT INCOL 0,50 X 0,38                                  00036TELHA TRANSL. ONDAFORT INCOL 0,50 X 0,38T1700000000000000
P212808484000189001TUBO PET DURA MAIS 100 X 6M                                               00010TUBO PET DURA MAIS 100 X 6M             T1700000000000000
P212808484000189001TUBO PET DURA MAIS  75 X 6M                                               00018TUBO PET DURA MAIS  75 X 6M             T1700000000000000
P212808484000189001TUBO PET DURA MAIS  50 X 6M                                               00019TUBO PET DURA MAIS  50 X 6M             T1700000000000000
P212808484000189001                                                                          00020TUBO PET DURA MAIS  40 X 6M             N0000000000000000
P212808484000189001CUMEEIRA NORMAL TOD  5 G 1.10M                                            00007CUMEEIRA NORMAL TOD  5 G 1.10M          T1700000000000000
P212808484000189001CAMISA BRANCA BASICA                                                      00029CAMISA BRANCA BASICA                    T1700000000000000
P212808484000189001PREGO GERDAU 1.1/4X9                                                      00100PREGO GERDAU 1.1/4X9                    T1700000000000000
P212808484000189001CHAVEIRO ABRIDOR PERSONALIZADOS                                           00027CHAVEIRO ABRIDOR PERSONALIZADOS         I0000000000000000
P212808484000189001                                                                          00021GRAMPO P/MURO GALVANIZADO MADELAR       T1700000000000000
P212808484000189001CAMISA BRANCA                                                             00030CAMISA BRANCA                           T1700000000000000
P212808484000189001PISO CER. 23X34 E 34X34 G-1 A ESCURIAL                                    00079PISO CER. 23X34 E 34X34 G-1 A ESCURIAL  T1700000000000000
